Client_ID,Total_Points,Fuel_Type,Lubricant_Amount_MAD,Shop_Amount_MAD,Restaurant_Amount_MAD,Butagaz_Units,Points_Redeemed,Estimated_Earned_Points,Loyalty_Ratio,Churned
C1,16295,FuelSave,387,162,61,1,5532,54525.0,0.3394906413010126,1
C2,1360,FuelSave,445,615,98,1,1117,2473.0,0.8213235294117647,0
C3,5890,V-Power,301,47,262,2,2035,10447.5,0.3455008488964346,1
C4,12464,V-Power,326,446,114,1,7450,13521.0,0.5977214377406932,0
C5,11784,V-Power,404,700,230,0,8934,8459.0,0.7581466395112016,0
C6,6765,FuelSave,315,608,182,4,3490,17880.0,0.515890613451589,0
C7,17350,V-Power Diesel,172,715,228,1,12705,12827.5,0.7322766570605187,0
C8,4926,V-Power Diesel,363,396,467,3,4538,2496.0,0.9212342671538774,1
C9,14923,V-Power,78,606,165,3,14123,3149.0,0.9463914762447229,1
C10,11863,V-Power Sans Plomb,481,308,345,2,7409,12469.0,0.6245469105622524,0
C11,16523,FuelSave,149,206,324,2,13124,17874.0,0.7942867518005204,0
C12,8822,V-Power Sans Plomb,192,354,244,0,6411,6817.5,0.7267059623668103,0
C13,2185,V-Power,261,264,38,1,1958,1230.5,0.8961098398169336,1
C14,1269,FuelSave,320,69,412,0,1149,1401.0,0.9054373522458629,1
C15,2933,V-Power Diesel,82,996,333,4,1979,4196.0,0.6747357654278895,0
C16,5811,V-Power Diesel,383,194,156,0,2889,8038.0,0.4971605575632421,0
C17,5551,V-Power Sans Plomb,410,499,108,0,2109,9622.0,0.3799315438659701,1
C18,6920,V-Power,393,235,358,4,3682,9481.0,0.5320809248554913,0
C19,18068,V-Power Sans Plomb,126,359,229,2,13601,12081.5,0.7527673234447643,0
C20,6896,V-Power,182,909,438,0,3857,9126.5,0.5593097447795824,0
C21,9166,V-Power Diesel,461,752,206,1,2872,17254.0,0.31333187868208595,1
C22,19442,FuelSave,161,525,59,1,13373,31190.0,0.6878407571237527,0
C23,18931,V-Power Diesel,40,982,489,0,10747,21971.0,0.567693201626961,0
C24,3247,V-Power Sans Plomb,159,688,251,4,1507,5848.0,0.4641207268247613,0
C25,689,FuelSave,450,448,193,0,360,2736.0,0.5224963715529753,0
C26,19618,V-Power,50,867,3,2,14729,13342.5,0.7507900907330003,0
C27,3505,V-Power Diesel,109,753,19,1,1133,6911.0,0.3232524964336662,1
C28,2399,V-Power,79,736,357,1,1331,3942.0,0.554814506044185,0
C29,1767,V-Power Diesel,422,727,434,4,618,4855.5,0.34974533106960953,1
C30,18412,V-Power,224,89,209,1,14070,11477.0,0.764175537692809,0
C31,11894,V-Power Diesel,4,137,233,0,11250,1984.0,0.945855052967883,1
C32,4056,V-Power Diesel,313,550,197,3,2206,5985.0,0.5438856015779092,0
C33,4390,V-Power,226,440,54,0,3765,2282.5,0.857630979498861,1
C34,9338,V-Power Diesel,400,529,45,3,8083,4411.5,0.8656029128292997,1
C35,15002,V-Power Diesel,406,377,46,3,11447,10016.5,0.7630315957872283,0
C36,11127,V-Power Diesel,473,841,85,3,4199,19019.0,0.37737036038464994,1
C37,9292,V-Power Sans Plomb,173,69,75,0,7337,5204.5,0.7896039603960396,0
C38,11055,V-Power Diesel,111,994,325,2,6363,13360.0,0.5755766621438263,0
